"FSC.H","SSC.H","FL1.H","FL2.H","FL3.H","FL1.A","FL1.W","Time","Gate"
341,255,255,201,247,0,0,42,1
945,987,958,417,1023,1023,193,42,-1
204,158,148,8,180,0,0,42,1
286,138,509,121,365,17,0,42,2
199,118,208,25,195,0,0,42,1
231,222,712,105,226,139,39,48,2
280,252,243,97,218,0,0,48,1
352,379,241,65,282,0,0,48,1
213,108,178,32,183,0,0,48,1
526,782,337,238,489,0,0,48,-1
381,502,309,207,451,0,0,48,2
314,249,465,0,285,10,0,48,2
312,403,262,211,160,0,0,48,1
435,629,363,267,558,0,0,48,2
317,119,789,138,285,273,44,48,2
71,36,78,0,70,0,0,48,-1
262,130,834,266,329,426,58,48,2
242,172,224,86,188,0,0,48,1
192,175,238,84,196,0,0,48,1
165,119,167,0,139,0,0,48,1
200,156,258,135,272,0,0,55,1
113,685,265,232,33,0,0,55,-1
327,289,220,49,162,0,0,55,1
351,215,266,159,367,0,0,55,1
185,173,224,94,133,0,0,55,1
108,127,202,91,139,0,0,55,1
383,411,297,172,278,0,0,55,1
840,446,864,306,693,582,170,55,-1
1023,1023,946,212,1023,1023,345,55,-1
190,124,213,81,192,0,0,55,1
331,245,257,189,175,0,0,55,1
193,226,218,166,65,0,0,55,1
252,110,745,156,233,184,36,55,2
216,152,201,53,178,0,0,55,1
255,251,237,172,174,0,0,55,1
266,90,786,169,291,267,42,62,2
208,168,136,0,257,0,0,62,1
630,224,413,58,457,4,0,62,-1
197,169,349,136,17,0,0,62,1
339,212,682,139,306,106,15,62,2
75,160,121,45,42,0,0,62,-1
233,171,118,47,173,0,0,62,1
479,206,846,253,521,481,57,62,2
132,203,210,104,157,0,0,62,1
243,150,210,105,191,0,0,62,1
201,163,644,118,410,74,4,62,2
209,193,212,93,181,0,0,62,1
255,324,267,188,140,0,0,62,1
260,265,218,96,139,0,0,62,1
91,133,228,97,121,0,0,62,1
119,608,205,144,26,0,0,70,-1
285,158,841,236,452,463,64,70,2
397,224,237,182,208,0,0,70,1
195,131,220,47,215,0,0,70,1
418,351,605,89,291,49,0,70,2
716,346,739,170,344,188,108,70,-1
317,208,257,111,326,0,0,70,1
766,451,891,255,740,785,218,70,-1
105,557,180,139,22,0,0,70,-1
225,118,194,0,202,0,0,70,1
248,244,723,224,407,151,30,70,2
133,115,207,39,193,0,0,70,1
312,141,757,145,249,204,37,70,2
277,266,247,171,123,0,0,70,1
194,172,217,121,118,0,0,70,1
249,236,221,26,209,0,0,75,1
304,283,205,166,123,0,0,75,1
257,208,281,161,188,0,0,75,1
425,419,240,153,230,0,0,75,1
338,410,283,228,232,0,0,75,1
204,71,645,172,201,75,0,75,2
317,344,219,112,177,0,0,75,1
410,158,798,192,431,298,57,75,2
168,88,200,39,221,0,0,75,1
71,45,160,63,126,0,0,75,1
257,299,249,189,147,0,0,75,1
425,342,273,58,414,0,0,75,1
173,127,236,164,184,0,0,75,1
239,156,728,184,442,159,39,75,2
400,265,760,166,735,211,59,75,2
280,178,256,0,347,0,0,83,1
563,165,807,108,426,327,65,83,-1
337,378,237,121,213,0,0,83,1
283,307,228,162,306,0,0,83,1
169,266,215,198,24,0,0,83,1
64,71,836,268,418,616,56,83,-1
125,107,197,0,163,0,0,83,1
336,322,247,98,334,0,0,83,1
200,200,209,121,107,0,0,83,1
333,293,237,166,145,0,0,83,1
129,140,138,130,37,0,0,83,1
276,148,674,18,323,98,20,83,2
172,184,146,0,142,0,0,83,1
254,251,233,169,130,0,0,83,1
255,283,237,108,185,0,0,83,1
190,103,693,73,224,119,25,93,2
127,76,164,37,177,0,0,93,1
273,282,242,168,272,0,0,93,1
144,181,204,23,104,0,0,93,1
154,79,161,74,191,0,0,93,1
252,227,210,0,244,0,0,93,1
230,215,209,47,187,0,0,93,1
190,180,560,0,139,30,0,93,1
164,89,121,11,80,0,0,93,1
296,240,216,0,347,0,0,93,1
387,414,313,231,468,0,0,93,2
83,106,134,72,99,0,0,93,1
223,248,385,140,199,0,0,93,1
123,125,131,73,101,0,0,93,1
169,148,172,93,141,0,0,93,1
848,438,947,231,1023,1023,368,97,-1
83,165,59,98,7,0,0,97,-1
220,199,191,61,161,0,0,97,1
215,203,231,104,210,0,0,97,1
180,70,696,172,200,121,21,97,2
306,290,261,86,271,0,0,97,1
372,238,260,60,413,0,0,97,1
169,297,219,128,58,0,0,97,1
226,71,197,0,301,0,0,97,1
110,96,174,49,192,0,0,97,1
302,178,199,102,260,0,0,97,1
164,167,239,119,138,0,0,97,1
266,214,200,107,160,0,0,97,1
255,182,172,22,184,0,0,97,1
266,307,324,222,363,0,0,97,1
472,604,355,285,288,1,0,104,1
409,318,288,121,394,0,0,104,1
315,430,291,227,230,0,0,104,1
308,330,259,80,315,0,0,104,1
325,252,253,127,325,0,0,104,1
208,148,469,25,88,11,0,104,1
137,352,81,82,18,0,0,104,-1
204,130,539,53,299,26,0,104,2
154,70,219,47,215,0,0,104,1
225,246,234,134,208,0,0,104,1
95,130,174,103,16,0,0,104,1
189,88,601,35,358,48,0,104,2
292,239,185,0,317,0,0,104,1
199,164,157,92,69,0,0,104,1
327,134,580,87,170,39,0,104,1
216,211,206,0,226,0,0,109,1
445,580,263,149,277,0,0,109,1
170,140,94,4,94,0,0,109,1
165,130,134,38,178,0,0,109,1
365,490,289,156,462,0,0,109,2
262,174,197,107,214,0,0,109,1
144,98,167,0,166,0,0,109,1
279,219,203,143,160,0,0,109,1
943,460,879,337,1011,681,130,109,-1
258,138,668,161,455,93,14,109,2
481,545,493,426,152,16,0,109,1
369,125,857,213,351,542,88,109,2
292,213,226,16,271,0,0,109,1
333,118,785,212,308,263,46,109,2
232,415,228,173,40,0,0,109,1
189,101,186,0,195,0,0,116,1
169,138,221,0,239,0,0,116,1
120,123,220,149,148,0,0,116,1
120,101,204,0,146,0,0,116,1
347,152,234,54,367,0,0,116,1
262,232,222,112,185,0,0,116,1
143,413,332,451,342,0,0,116,-1
130,410,104,66,11,0,0,116,-1
298,121,349,371,121,0,0,116,1
320,285,224,153,174,0,0,116,1
298,297,231,110,335,0,0,116,1
104,63,429,0,163,5,0,116,1
250,138,262,216,98,0,0,116,1
240,206,229,151,177,0,0,116,1
303,264,235,52,299,0,0,116,1
248,224,200,54,109,0,0,121,1
400,391,255,118,238,0,0,121,1
445,676,339,237,432,0,0,121,2
392,552,316,226,332,0,0,121,1
190,167,224,68,187,0,0,121,1
224,228,232,113,150,0,0,121,1
316,1023,347,176,32,2,0,121,-1
226,148,186,0,170,0,0,121,1
209,105,612,203,342,52,0,121,2
203,171,158,54,151,0,0,121,1
401,178,477,30,355,12,0,121,2
270,147,822,214,359,379,60,121,2
99,60,178,31,186,0,0,121,1
235,191,157,106,52,0,0,121,1
209,241,267,191,198,0,0,121,1
296,217,169,66,185,0,0,126,1
294,191,718,162,316,148,38,126,2
157,51,152,27,196,0,0,126,1
258,205,232,126,144,0,0,126,1
236,262,224,150,92,0,0,126,1
228,148,198,90,182,0,0,126,1
474,166,858,173,497,572,132,126,2
339,219,268,54,410,0,0,126,1
287,260,234,136,222,0,0,126,1
216,114,83,0,173,0,0,126,1
74,205,111,96,11,0,0,126,-1
252,271,288,159,210,0,0,126,1
125,143,141,9,127,0,0,126,1
115,184,217,130,96,0,0,126,1
994,799,789,234,1023,333,292,126,-1
484,337,847,258,662,492,73,131,2
68,217,151,299,208,0,0,131,-1
216,192,219,121,174,0,0,131,1
343,217,578,160,310,38,0,131,2
418,489,240,138,193,0,0,131,1
220,128,242,136,204,0,0,131,1
160,112,178,5,212,0,0,131,1
644,800,339,247,359,0,0,131,-1
96,96,106,37,43,0,0,131,1
177,116,214,53,204,0,0,131,1
335,425,297,238,130,0,0,131,1
716,411,890,333,822,795,168,131,2
174,108,118,0,199,0,0,131,1
744,429,883,274,784,713,128,131,-1
401,525,332,235,352,0,0,131,1
337,336,265,90,321,0,0,137,1
414,275,295,143,565,0,0,137,2
975,780,911,76,1023,823,169,137,-1
488,263,887,281,598,708,76,137,2
293,319,255,195,185,0,0,137,1
249,223,221,131,162,0,0,137,1
193,142,197,0,243,0,0,137,1
192,137,173,0,181,0,0,137,1
152,158,616,0,143,54,0,137,1
276,191,209,106,188,0,0,137,1
300,354,292,188,222,0,0,137,1
291,236,175,0,305,0,0,137,1
210,168,200,135,128,0,0,137,1
350,177,755,186,275,201,39,137,2
240,163,240,63,227,0,0,137,1
431,190,868,266,579,600,72,140,2
304,293,287,181,255,0,0,140,1
95,282,207,121,43,0,0,140,-1
475,836,409,320,363,4,0,140,-1
256,184,194,49,268,0,0,140,1
252,281,263,102,352,0,0,140,1
289,168,794,284,454,286,44,140,2
196,179,206,120,157,0,0,140,1
711,476,810,268,567,324,65,140,2
212,251,228,126,238,0,0,140,1
592,712,385,297,487,1,0,140,2
433,598,307,160,550,0,0,140,2
416,410,315,183,409,0,0,140,1
342,465,312,273,170,0,0,140,1
253,105,186,61,190,0,0,140,1
922,577,909,251,967,975,223,146,-1
313,331,239,33,324,0,0,146,1
174,150,161,93,45,0,0,146,1
314,270,271,102,326,0,0,146,1
345,375,270,211,164,0,0,146,1
238,237,154,90,59,0,0,146,1
168,141,186,81,175,0,0,146,1
98,102,746,230,256,195,36,146,2
323,210,273,166,295,0,0,146,1
148,186,196,97,137,0,0,146,1
177,114,710,208,277,136,26,146,2
136,97,144,0,176,0,0,146,1
189,92,126,0,201,0,0,146,1
281,330,286,171,294,0,0,146,1
129,84,126,18,138,0,0,146,1
212,123,174,95,154,0,0,153,1
112,73,153,44,101,0,0,153,1
80,194,207,34,11,0,0,153,-1
267,173,295,176,380,0,0,153,1
302,328,242,98,285,0,0,153,1
187,138,222,159,143,0,0,153,1
255,209,228,126,107,0,0,153,1
446,547,310,231,294,0,0,153,1
155,198,181,68,121,0,0,153,1
130,104,142,60,70,0,0,153,1
286,142,243,134,220,0,0,153,1
266,349,261,113,364,0,0,153,1
245,198,237,110,268,0,0,153,1
157,125,261,165,182,0,0,153,1
1023,854,945,280,1023,1023,340,153,-1
341,297,250,220,144,0,0,157,1
175,130,144,34,182,0,0,157,1
124,183,189,32,162,0,0,157,1
765,343,711,168,721,139,46,157,-1
373,293,620,131,311,57,0,157,2
143,149,416,113,87,5,0,157,1
416,529,349,268,377,0,0,157,1
239,122,721,192,228,150,27,157,2
304,112,762,181,256,214,39,157,2
512,268,876,182,580,668,114,157,2
236,242,536,96,94,24,0,157,1
200,128,154,33,147,0,0,157,1
119,444,123,76,30,0,0,157,-1
730,509,908,283,739,1023,352,157,2
424,564,410,353,327,3,0,157,1
156,1023,569,79,19,41,24,164,-1
399,456,298,215,296,0,0,164,1
223,198,208,29,198,0,0,164,1
83,114,271,93,14,0,0,164,1
275,277,270,166,206,0,0,164,1
261,216,201,90,194,0,0,164,1
844,439,890,279,830,673,118,164,-1
63,409,19,34,1,0,0,164,-1
226,162,184,68,148,0,0,164,1
333,308,567,79,321,34,0,164,2
304,173,846,235,415,517,165,164,2
268,193,234,24,253,0,0,164,1
98,86,147,46,97,0,0,164,1
263,238,248,110,201,0,0,164,1
132,143,231,0,135,0,0,164,1
198,128,157,2,143,0,0,171,1
364,359,269,142,347,0,0,171,1
868,1023,471,428,772,13,0,171,-1
1023,781,958,222,1023,1023,252,171,-1
677,402,892,336,973,747,78,171,2
221,165,289,151,199,0,0,171,1
289,201,737,192,345,171,37,171,2
132,117,593,145,195,44,0,171,2
211,189,227,151,86,0,0,171,1
555,357,860,186,664,653,274,171,2
138,184,205,20,145,0,0,171,1
348,229,557,25,357,30,0,171,2
164,73,173,54,203,0,0,171,1
73,181,50,48,9,0,0,171,-1
166,164,195,0,148,0,0,171,1
280,211,251,0,344,0,0,174,1
189,110,708,161,201,136,31,174,2
484,361,328,153,270,0,0,174,1
273,121,769,75,253,230,50,174,2
138,105,176,60,146,0,0,174,1
222,201,606,40,300,50,0,174,2
564,1023,645,606,1023,72,21,174,-1
255,274,289,214,114,0,0,174,1
160,149,741,236,226,181,33,174,2
301,336,668,81,275,94,20,174,2
233,797,113,97,26,0,0,174,-1
229,233,574,169,328,35,0,174,2
181,103,126,61,190,0,0,174,1
648,434,900,217,769,795,94,174,2
259,217,218,77,240,0,0,174,1
315,343,284,218,85,0,0,180,1
208,175,198,62,148,0,0,180,1
1023,707,937,346,1023,1023,218,180,-1
311,409,256,187,159,0,0,180,1
734,1023,267,242,35,0,0,180,-1
175,115,181,101,78,0,0,180,1
201,260,582,143,102,39,0,180,1
277,177,713,0,359,140,37,180,2
231,238,590,164,117,42,0,180,1
139,152,237,116,218,0,0,180,1
165,195,132,37,105,0,0,180,1
251,291,264,144,326,0,0,180,1
241,181,217,120,207,0,0,180,1
359,147,677,138,217,101,21,180,2
105,138,154,0,133,0,0,180,1
104,79,740,128,214,187,41,185,2
301,200,848,220,467,494,68,185,2
260,203,579,120,344,38,0,185,2
359,246,642,143,288,71,10,185,2
227,205,216,151,172,0,0,185,1
318,484,399,284,715,2,0,185,2
526,904,361,260,372,2,0,185,-1
148,87,116,0,72,0,0,185,1
190,150,133,0,186,0,0,185,1
389,160,770,166,403,230,46,185,2
91,63,180,53,129,0,0,185,1
246,203,225,0,117,0,0,185,1
242,345,199,111,116,0,0,185,1
376,46,37,0,6,0,0,185,-1
255,150,682,141,206,108,21,185,2
238,213,238,59,251,0,0,189,1
302,282,227,103,342,0,0,189,1
119,82,208,85,212,0,0,189,1
151,110,295,78,199,0,0,189,1
201,104,162,71,151,0,0,189,1
292,172,735,177,390,171,40,189,2
344,393,284,175,245,0,0,189,1
90,114,128,98,24,0,0,189,1
201,118,162,14,203,0,0,189,1
266,202,188,0,258,0,0,189,1
308,280,284,167,270,0,0,189,1
183,148,156,7,197,0,0,189,1
273,216,246,193,158,0,0,189,1
411,223,827,270,323,395,54,189,2
140,105,233,82,212,0,0,189,1
229,248,240,116,350,0,0,200,1
188,122,186,46,205,0,0,200,1
496,709,374,301,254,3,0,200,1
732,1023,396,341,410,2,0,200,-1
313,181,238,84,357,0,0,200,1
343,357,237,189,155,0,0,200,1
339,464,292,185,315,0,0,200,1
205,87,162,50,204,0,0,200,1
136,94,123,64,96,0,0,200,1
151,91,185,62,168,0,0,200,1
71,150,289,2,18,0,0,200,-1
298,309,257,142,233,0,0,200,1
191,141,257,150,224,0,0,200,1
210,192,269,161,199,0,0,200,1
266,192,199,113,256,0,0,200,1
389,380,282,102,385,0,0,205,1
150,113,152,0,102,0,0,205,1
845,370,868,267,848,609,108,205,-1
520,308,874,357,662,676,147,205,2
226,195,145,48,137,0,0,205,1
142,120,167,0,191,0,0,205,1
60,123,347,56,49,5,0,205,-1
280,134,462,10,313,10,0,205,2
85,61,163,52,143,0,0,205,1
79,380,213,124,42,0,0,205,-1
193,222,178,95,144,0,0,205,1
455,443,307,259,158,0,0,205,1
287,145,832,288,358,419,57,205,2
263,293,272,228,146,0,0,205,1
271,89,222,87,206,0,0,205,1
320,487,296,191,214,0,0,210,1
80,85,52,32,7,0,0,210,1
175,261,236,99,281,0,0,210,1
164,141,267,169,160,0,0,210,1
441,417,280,200,301,0,0,210,1
153,126,87,0,98,0,0,210,1
566,208,393,103,357,1,0,210,-1
239,154,239,85,133,0,0,210,1
151,69,160,0,208,0,0,210,1
434,160,286,44,230,0,0,210,1
259,229,219,180,105,0,0,210,1
123,59,204,38,181,0,0,210,1
728,492,906,302,887,975,291,210,2
507,319,823,192,476,381,64,210,2
238,147,184,148,103,0,0,210,1
159,177,187,5,117,0,0,214,1
241,241,245,0,145,0,0,214,1
376,288,296,165,358,0,0,214,1
262,283,181,0,156,0,0,214,1
105,204,387,80,76,4,0,214,-1
109,137,127,25,99,0,0,214,1
286,255,189,0,194,0,0,214,1
194,95,147,39,194,0,0,214,1
294,241,152,11,283,0,0,214,1
138,164,474,186,58,12,0,214,1
187,84,183,0,168,0,0,214,1
206,158,751,231,380,195,38,214,2
218,202,208,104,172,0,0,214,1
290,260,284,167,409,0,0,214,1
221,293,248,150,120,0,0,214,1
736,318,485,148,423,17,0,221,-1
300,154,336,297,102,1,0,221,1
320,337,250,189,197,0,0,221,1
322,238,242,103,340,0,0,221,1
331,181,458,40,349,10,0,221,2
81,57,744,160,248,213,36,221,2
318,339,265,159,340,0,0,221,1
117,125,175,54,141,0,0,221,1
197,132,678,234,195,102,19,221,2
303,392,291,241,161,0,0,221,1
216,196,224,96,221,0,0,221,1
263,156,769,212,375,230,47,221,2
114,59,169,24,192,0,0,221,1
257,255,245,182,175,0,0,221,1
228,205,200,105,101,0,0,221,1
265,287,220,73,226,0,0,226,1
899,685,931,301,989,1023,341,226,-1
998,1023,933,142,1023,1023,210,226,-1
268,144,184,97,154,0,0,226,1
897,665,849,311,835,484,66,226,-1
358,321,254,201,212,0,0,226,1
157,132,187,0,174,0,0,226,1
236,242,233,65,171,0,0,226,1
673,415,861,351,715,558,59,226,2
339,80,395,163,426,2,0,226,-1
236,248,282,193,86,0,0,226,1
340,251,286,47,282,0,0,226,1
136,124,173,62,65,0,0,226,1
193,184,185,54,195,0,0,226,1
185,146,187,24,176,0,0,226,1
212,1023,379,289,59,1,0,231,-1
172,148,829,230,326,410,59,231,2
277,240,236,107,288,0,0,231,1
430,267,543,196,312,26,0,231,2
171,120,199,70,257,0,0,231,1
301,172,178,0,325,0,0,231,1
149,79,604,147,272,50,0,231,2
551,298,882,218,746,644,71,231,2
339,311,231,67,274,0,0,231,1
397,589,296,198,290,0,0,231,1
129,123,98,16,104,0,0,231,1
100,65,197,67,165,0,0,231,1
159,226,123,78,133,0,0,231,1
274,363,251,169,107,0,0,231,1
181,152,261,166,223,0,0,231,1
225,211,715,199,334,143,34,240,2
261,384,273,208,148,0,0,240,1
175,131,221,28,221,0,0,240,1
761,643,933,258,1023,1023,193,240,-1
148,58,190,50,197,0,0,240,1
164,55,214,88,221,0,0,240,1
260,200,231,120,313,0,0,240,1
232,185,203,179,90,0,0,240,1
68,322,177,66,15,0,0,240,-1
173,51,738,136,217,173,34,240,-1
544,355,852,230,644,606,277,240,2
66,44,126,84,150,0,0,240,-1
298,229,196,122,167,0,0,240,1
363,189,254,85,311,0,0,240,1
299,301,171,0,244,0,0,240,1
1023,755,893,307,888,884,259,246,-1
289,241,267,120,311,0,0,246,1
149,88,193,74,184,0,0,246,1
252,86,276,13,190,0,0,246,1
208,120,211,80,205,0,0,246,1
175,117,337,0,101,0,0,246,1
342,362,262,187,269,0,0,246,1
212,165,207,134,123,0,0,246,1
177,247,349,60,15,0,0,246,1
275,199,246,95,178,0,0,246,1
363,307,247,192,157,0,0,246,1
217,177,194,148,96,0,0,246,1
250,116,715,103,224,143,26,246,2
170,104,121,0,210,0,0,246,1
158,126,238,38,221,0,0,246,1
255,216,211,169,85,0,0,251,1
232,206,213,74,246,0,0,251,1
371,393,270,185,345,0,0,251,1
237,215,131,0,160,0,0,251,1
279,263,184,86,139,0,0,251,1
183,212,143,57,192,0,0,251,1
279,374,254,146,222,0,0,251,1
190,145,656,177,305,83,2,251,2
324,379,270,154,336,0,0,251,1
234,199,166,0,190,0,0,251,1
246,235,727,164,292,158,32,251,2
124,70,197,52,157,0,0,251,1
228,196,177,40,181,0,0,251,1
263,236,291,225,247,0,0,251,1
227,101,797,166,279,296,44,251,2
80,537,265,167,34,0,0,256,-1
597,573,660,235,529,85,10,256,2
101,196,209,51,99,0,0,256,-1
366,315,203,108,241,0,0,256,1
239,174,797,164,283,295,43,256,2
308,253,179,0,244,0,0,256,1
174,138,566,95,204,34,0,256,2
227,188,245,109,235,0,0,256,1
310,313,284,60,349,0,0,256,1
221,132,814,220,239,350,51,256,2
222,211,206,9,214,0,0,256,1
272,166,817,273,299,359,50,256,2
320,310,224,124,208,0,0,256,1
986,712,913,239,1023,998,243,256,-1
72,63,175,0,166,0,0,256,1
83,93,343,36,116,0,0,261,1
231,181,187,58,120,0,0,261,1
154,106,710,154,223,138,25,261,2
357,261,658,128,263,84,11,261,2
201,159,172,123,121,0,0,261,1
125,131,653,109,193,81,4,261,2
1023,1004,915,387,1023,1023,274,261,-1
230,165,747,60,219,188,40,261,2
465,583,353,293,187,0,0,261,1
327,138,275,93,404,0,0,261,1
163,67,80,17,144,0,0,261,1
231,351,508,87,97,19,0,261,1
215,263,217,131,119,0,0,261,1
444,111,511,61,370,19,0,261,-1
184,237,196,21,127,0,0,261,1
298,139,807,182,303,327,45,267,2
166,102,784,226,202,262,44,267,2
665,418,846,232,677,533,192,267,2
131,68,209,119,186,0,0,267,1
970,796,911,310,1023,1023,308,267,-1
437,252,531,144,253,23,0,267,2
577,244,800,270,456,302,55,267,2
259,251,235,28,309,0,0,267,1
231,126,210,23,366,0,0,267,1
189,175,548,133,328,27,0,267,2
213,113,256,148,347,0,0,267,1
272,188,577,72,376,37,0,267,2
281,265,204,17,104,0,0,267,1
829,485,931,319,978,1023,195,267,-1
336,307,684,191,732,111,33,267,2
698,480,862,246,731,626,266,272,2
280,337,276,233,98,0,0,272,1
192,281,241,175,84,0,0,272,1
299,129,506,71,358,18,0,272,2
358,242,751,181,402,185,46,272,2
236,233,240,149,159,0,0,272,1
177,134,614,111,256,55,0,272,2
83,672,243,188,38,0,0,272,-1
132,54,173,11,158,0,0,272,1
252,99,821,210,338,375,50,272,2
180,218,174,87,137,0,0,272,1
418,268,271,76,438,0,0,272,1
320,377,221,190,79,0,0,272,1
208,215,187,7,192,0,0,272,1
295,194,233,141,294,0,0,272,1
375,325,256,67,326,0,0,275,1
221,208,200,40,251,0,0,275,1
424,150,637,143,296,69,0,275,2
392,374,291,200,316,0,0,275,1
325,304,244,148,346,0,0,275,1
149,116,187,54,193,0,0,275,1
197,123,144,0,193,0,0,275,1
200,161,690,134,351,114,30,275,2
112,34,181,56,240,0,0,275,-1
175,85,180,37,181,0,0,275,1
147,117,153,1,149,0,0,275,1
167,126,188,68,188,0,0,275,1
497,350,823,187,431,398,113,275,2
195,213,204,122,104,0,0,275,1
345,246,211,0,356,0,0,275,1
200,75,149,83,188,0,0,281,1
683,787,437,265,1023,8,0,281,-1
302,328,266,140,263,0,0,281,1
298,252,256,196,180,0,0,281,1
151,126,207,97,199,0,0,281,1
167,130,174,32,113,0,0,281,1
122,45,206,68,212,0,0,281,1
270,242,239,111,277,0,0,281,1
419,531,307,214,411,0,0,281,1
141,108,613,171,189,54,0,281,2
213,239,159,42,93,0,0,281,1
577,742,374,314,289,1,0,281,1
383,241,209,94,318,0,0,281,1
